disease,cell_type,n_cells,TNIP1_mean,TNIP1_pct,HLA-C_mean,HLA-C_pct,HLA-B_mean,HLA-B_pct,TYK2_mean,TYK2_pct,IL12B_mean,IL12B_pct
normal,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",75,0.28,21.3,8.2933,97.3,13.76,100.0,0.0667,6.7,0.0,0.0
normal,plasma cell,69,1.6522,66.7,10.942,100.0,21.0435,100.0,0.1159,11.6,0.0,0.0
normal,sebocyte,65,1.4923,66.2,7.2923,92.3,10.7231,98.5,0.2,18.5,0.0,0.0
normal,"effector memory CD4-positive, alpha-beta T cell",57,0.4211,31.6,9.4912,98.2,16.5614,98.2,0.0702,7.0,0.0,0.0
normal,promyelocyte,54,0.3333,22.2,3.0926,64.8,4.8889,66.7,0.2778,25.9,0.0,0.0
normal,basal cell of epidermis,50,0.6,34.0,0.0,0.0,0.0,0.0,0.36,22.0,0.0,0.0
normal,mature B cell,49,0.7959,55.1,12.5714,98.0,23.8163,100.0,0.1837,14.3,0.0,0.0
normal,hematopoietic stem cell,44,0.2955,18.2,1.8409,54.5,2.0455,56.8,0.2273,22.7,0.0,0.0
normal,myelocyte,44,0.1591,13.6,0.3636,22.7,0.1136,9.1,0.1364,13.6,0.0,0.0
normal,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",35,0.8286,40.0,6.7143,85.7,10.9143,85.7,0.0857,8.6,0.0,0.0
normal,erythroid progenitor cell,35,0.0,0.0,0.0,0.0,0.0286,2.9,0.0,0.0,0.0,0.0
normal,common myeloid progenitor,27,0.2963,25.9,1.8519,59.3,2.5556,51.9,0.2963,25.9,0.0,0.0
normal,primordial germ cell,26,0.0,0.0,0.0385,3.8,0.0385,3.8,0.0,0.0,0.0,0.0
normal,common dendritic progenitor,24,0.5417,33.3,3.5,87.5,5.9167,87.5,0.3333,33.3,0.0,0.0
normal,mature NK T cell,23,0.3913,34.8,6.8261,95.7,11.2609,100.0,0.0,0.0,0.0,0.0
normal,hematopoietic multipotent progenitor cell,22,0.7273,45.5,2.6818,59.1,4.1364,59.1,0.1364,13.6,0.0,0.0
